kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
3114167,candidate,6.770300385,170.57662,0.838,2.0844,1304,86.84,50.8,1,0.9274,5653,4.656,0.679,0.767,15.591
9278553,non-candidate,18.61009258,139.0850449,1.258,4.98308,50834,87.3,1309.3,1,0.0767,6077,4.526,0.891,0.974,15.84
8693536,candidate,16.2347636,139.9705,0.046,4.2,115.5,89.91,10.7,1,0.256,6478,4.371,1.188,1.209,14.299
9457533,non-candidate,37.3683802,135.1439,0.8375,2.8,206.6,89.38,8.8,1,,5101,3.15,6.422,2.123,12.362
9458266,candidate,1.58487898,132.69772,0.417,1.791,42.9,86.16,9.3,1,0.5999,4201,4.675,0.566,0.552,13.742
4077252,non-candidate,0.534109403,131.80501,0.476,0.9513,78.3,82.95,37,1,1,10747,4.1,2.432,2.718,12.314
8689373,candidate,3.78402867,133.28133,0.691,1.9012,426.1,86.54,25.6,3,0.4129,5196,4.593,0.775,0.869,15.532
5802637,candidate,7.3422467,131.55382,0.253,2.029,366.8,89.47,11.8,1,0.642,5573,4.562,0.839,0.939,15.486
6967278,non-candidate,395.07333,244.4858,0.013,7.844,645.1,90,16.4,1,0.437,3599,0.679,98.38,1.688,13.544
9941662,candidate,1.763587535,120.5659254,0.512,3.16877,4590.6,82.71,4061.9,1,0.7766,9107,3.867,3.031,2.466,9.958
10350571,non-candidate,93.881556,131.5771,0.008,20.644,188.7,89.99,23.7,3,0.7507,5676,4.1,1.487,1.016,13.29
11342416,candidate,25.3690868,143.68699,0.845,4.746,110.1,87.87,21.6,1,0.2261,6126,4.224,1.406,1.212,12.476
4770365,candidate,1.609321941,178.94178,0.016,1.6067,728.5,89.89,35.3,3,0.1073,4224,4.662,0.603,0.609,15.937
3546821,non-candidate,561.08191,133.5178,0.4298,14.94,229.1,89.95,9.8,1,,6014,4.264,1.258,1.06,12.602
8703506,non-candidate,352.710091,251.1931,0.329,2.901,1658,89.98,9.6,1,0.3676,6112,4.513,0.908,0.981,15.672
8806123,candidate,36.8567758,138.90683,0.05,7.495,714.1,89.93,43.8,2,0.3109,5768,4.434,1.015,1.021,15
3755522,non-candidate,251.958533,367.3803,0.005,4.742,204.1,90,15.3,1,0.852,5870,4.449,0.985,0.994,12.289
7885494,non-candidate,1.72929014,132.5562,0.089,3.609,84.5,88.62,9.6,1,0.8617,5910,4.505,0.94,1.032,15.659
9466486,candidate,557.92882,210.68,0.1034,4.788,262.2,89.95,8.1,1,,5553,3.805,1.844,0.792,13.263
7877978,candidate,56.5732318,146.57984,0.942,4.188,688.5,88.76,21.6,1,0.0684,4701,4.54,0.775,0.758,14.889
6762829,non-candidate,18.7952698,138.6686066,0.201,9.9816,28241,89.29,3596.6,1,0.8533,5623,3.925,1.841,1.038,13.941
6278762,candidate,3.60011712,133.25983,0.025,2.396,50.2,89.88,21.6,5,-1,5051,4.562,0.721,0.692,8.717
7584650,candidate,44.9977604,160.2298,0.928,9.686,170.2,86.35,21.4,2,0.9607,5871,4.493,0.983,1.097,13.468
4049124,non-candidate,4.804469712,136.0047256,0.567,3.51946,132620,87.47,1177.8,1,0,5561,4.558,0.809,0.864,14.654
9529744,non-candidate,2.404556949,131.67616,0.97,7.4918,408.7,40.49,147.1,3,0,6426,4.013,1.775,1.182,13.474
6523058,candidate,2.0481582,132.17679,0.179,1.899,183.3,88.76,11.7,1,0.0837,5799,4.548,0.86,0.955,15.98
6424561,candidate,6.6716723,131.92708,0.167,2.693,154.4,89.49,10.3,1,0.3366,6086,4.435,1.021,1.031,15.134
8331612,candidate,13.8353959,134.3082,0.94,4.961,818,84.1,10.3,2,0.1768,6020,4.403,1.057,1.03,15.842
5385778,non-candidate,12.42592247,141.54848,0.885,31.5,8707.6,66.44,190.8,1,0.9519,4849,3.06,6.952,2.025,12.696
4141587,non-candidate,10.2239787,135.4415,0.439,1.814,213.5,89.36,6.5,1,0.9731,4673,2.412,16.823,2.666,13.188
3645282,non-candidate,0.673684895,131.61938,0.547,1.161,51.1,81.77,7,1,0.9791,5645,4.453,0.951,0.936,14.42
8630840,non-candidate,370.38642,263.3823,0.006,23.94,186.2,90,13.9,1,0.0243,6179,4.134,1.555,1.199,13.732
5080652,non-candidate,2.072177815,133.095727,0.641,4.54864,293720,82.9,590.7,1,-1,5519,4.621,0.718,0.811,15.08
11152511,candidate,287.33114,360.8412,0.529,12.722,406.7,89.8,19.7,1,0.1934,5426,4.378,1.007,0.883,13.618
9837661,candidate,2.226496196,133.37195,0.048,1.7073,1839.1,89.73,36,3,0.267,3640,4.744,0.503,0.513,16.835
6685609,candidate,3.07155284,133.30255,0.855,4.0935,86,74.56,27.2,3,0.6361,5918,4.127,1.555,1.181,13.182
10191036,non-candidate,1.21374652,131.735,0.57,3.371,28.9,76.24,17.4,1,0.7432,6238,4.407,1.049,1.022,12.107
7583650,candidate,6.4546845,135.5436,0.93,3.071,69.9,81.61,10.8,1,0.8521,6474,4.243,1.362,1.185,13.784
5364071,candidate,18.59611518,141.26331,0.014,2.3052,813.8,89.99,27.6,4,0.4977,3834,4.708,0.539,0.541,15.264
9886224,non-candidate,2.992662857,131.893219,0.001,2.5258,113700,90,296.8,1,0.7505,4927,3.883,1.837,0.94,16.328
3663173,candidate,174.636181,184.5253,0.04,15.679,2500.9,89.97,37.1,1,0.2421,5974,3.859,2.232,1.313,15.905
8440062,non-candidate,366.71923,185.6459,0.592,9.8,246.4,89.86,9.8,1,0,6295,3.907,2.049,1.237,13.302
8129005,non-candidate,7.1403113,137.9994,0.786,5.891,112.1,82.41,11.8,1,0.0003,6354,4.454,1.016,1.067,14.738
12554634,candidate,2.049602348,132.32639,0.435,1.061,186.1,88.16,11.3,1,0.9648,5356,4.589,0.78,0.872,15.277
3758499,candidate,80.881757,136.6708,0.335,12.568,142.7,89.59,12.2,2,0.8033,5934,3.945,1.885,1.141,13.698
